...1,gen,pA,pB,pD,tJ,tF,tG,tH,error,min_error
136,136,12.868108143782884,15.643070079965316,16.115744111941382,0.5126867830705221,0.4572897882727304,0.35174578637548914,0.8958273137784272,70.55335,64.12936
137,137,12.403140417073768,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.29503,64.12936
138,138,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.900377820438649,68.69249,64.12936
139,139,12.868108143782884,15.643070079965316,17.218297976660402,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.57553,64.12936
140,140,12.868108143782884,15.642959433341856,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.5693,64.12936
141,141,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.7846780296915277,73.46014,64.12936
142,142,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.41082610095439287,0.35174578637548914,0.8958273137784272,69.66533,64.12936
143,143,12.868108143782884,15.643070079965316,16.115744111941382,0.4171461127470841,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.23419,64.12936
144,144,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.381595189250594,0.35174578637548914,0.8958273137784272,68.36028,64.12936
145,145,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.5245514379482984,0.35174578637548914,0.8958273137784272,66.4717,64.12936
146,146,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4108448304770051,0.35174578637548914,0.8958273137784272,69.50652,64.12936
147,147,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.3609596471542932,0.35174578637548914,0.8958273137784272,69.21287,64.12936
148,148,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.9298727137434146,67.76789,64.12936
149,149,13.030123165669885,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.23438,64.12936
150,150,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8451162869009159,71.03049,64.12936
151,151,12.868108143782884,15.643070079965316,16.115744111941382,0.4238307744484794,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.34878,64.12936
152,152,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8778548945950395,70.75427,64.12936
153,153,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.5285541335300159,0.35174578637548914,0.8958273137784272,69.87693,64.12936
