,gen,pA,pB,pD,error
247,247.0,380962.06864410295,724830289829754.9,2590075516.713962,14.19505
248,248.0,380962.06864410295,724830289829754.9,2590082357.6270533,14.19505
249,249.0,380962.06864410295,724830289829754.9,2590101528.160314,14.19505
250,250.0,380962.06864410295,724830289829754.9,2590121111.879133,14.19505
251,251.0,380962.06864410295,724830289835835.8,2590180986.0208483,14.19505
252,252.0,380962.06864410295,724830289826611.1,2590180986.0208483,14.19505
253,253.0,380962.06864410295,724830289801451.1,2590180986.0208483,14.19505
254,254.0,380962.06864410295,724830289826111.5,2590180986.0208483,14.19505
255,255.0,380962.06864410295,724830289852034.0,2590180986.0208483,14.19505
256,256.0,402988.5344389097,724830290014788.8,2590180986.0208483,12.20376
257,257.0,402988.5344389097,724830290014788.8,2590182941.618252,12.20376
258,258.0,402988.5344389097,724830290014788.8,2590182094.480257,12.20376
259,259.0,402988.5344389097,724830290014788.8,2590190424.736768,12.20376
260,260.0,402988.5344389097,724830290014788.8,2590191911.7706847,12.20376
261,261.0,402988.5344389097,724830290014788.8,2590200278.6935544,12.20376
262,262.0,399483.6727251558,724830290014788.8,2590260152.8352695,12.20376
263,263.0,390454.49167060695,724830290014788.8,2590260152.8352695,12.20376
264,264.0,390917.0253223055,724830290014788.8,2590260152.8352695,12.20376
265,265.0,392217.2699439108,724830290014788.8,2590260152.8352695,12.20376
266,266.0,397551.08249542885,724830290014788.8,2590260152.8352695,12.20376
267,267.0,419577.5482902356,724830290014788.8,2590253505.061571,13.51183
268,268.0,419577.5482902356,724830290014788.8,2590265212.013969,13.51183
269,269.0,419577.5482902356,724830290014788.8,2590272782.1082816,13.51183
270,270.0,419577.5482902356,724830290014788.8,2590279456.3339157,13.51183
271,271.0,419577.5482902356,724830290014788.8,2590287710.551782,13.51183
272,272.0,419577.5482902356,724830290007309.8,2590347584.693497,13.51183
273,273.0,419577.5482902356,724830289974229.6,2590347584.693497,13.51183
274,274.0,419577.5482902356,724830289972792.9,2590347584.693497,13.51183
275,275.0,419577.5482902356,724830290025486.2,2590347584.693497,13.51183
276,276.0,419577.5482902356,724830289973006.6,2590347584.693497,13.51183
277,277.0,419577.5482902356,724830290135761.4,2590324715.691456,13.51183
278,278.0,419577.5482902356,724830290135761.4,2590337614.269849,13.51183
279,279.0,419577.5482902356,724830290135761.4,2590332663.230815,13.51183
280,280.0,419577.5482902356,724830290135761.4,2590323306.1127925,13.51183
281,281.0,419577.5482902356,724830290135761.4,2590338412.928957,13.51183
282,282.0,419577.5482902356,724830290098969.4,2590398287.070672,13.51183
283,283.0,419577.5482902356,724830290050773.4,2590398287.070672,13.51183
284,284.0,419577.5482902356,724830290063182.4,2590398287.070672,13.51183
285,285.0,419577.5482902356,724830290121836.5,2590398287.070672,13.51183
286,286.0,419577.5482902356,724830290111621.2,2590398287.070672,13.51183
287,287.0,419577.5482902356,724830290080726.5,2590398287.070672,13.51183
288,288.0,419577.5482902356,724830290046377.6,2590398287.070672,13.51183
289,289.0,419577.5482902356,724830290139139.6,2590398287.070672,13.51183
290,290.0,419577.5482902356,724830290113657.6,2590398287.070672,13.51183
291,291.0,419577.5482902356,724830290089501.5,2590398287.070672,13.51183
292,292.0,419577.5482902356,724830290065535.5,2590398287.070672,13.51183
293,293.0,419577.5482902356,724830290011500.4,2590398287.070672,13.51183
294,294.0,419577.5482902356,724830290045043.1,2590398287.070672,13.51183
295,295.0,419577.5482902356,724830290022664.9,2590398287.070672,13.51183
296,296.0,419577.5482902356,724830290017199.6,2590398287.070672,13.51183
297,297.0,441604.0140850423,724830290179954.4,2590398287.070672,9.80437
298,298.0,441604.0140850423,724830290171781.8,2590398287.070672,9.80437
299,299.0,441604.0140850423,724830290132617.9,2590398287.070672,9.80437
300,300.0,441604.0140850423,724830290156973.6,2590398287.070672,9.80437
